equipo;DireccionIP;usuario
asistente337-1;157.253.204.14;no user
ISC201;157.253.202.11;no user
ISC202;157.253.202.12;no user
ISC203;157.253.202.13;no user
ISC204;157.253.202.14;no user
ISC205;157.253.202.15;no user
ISC206;157.253.202.16;no user
ISC207;157.253.202.17;no user
ISC208;157.253.202.18;no user
ISC209;157.253.202.19;no user
ISC210;157.253.202.20;no user
ISC211;157.253.202.21;no user
ISC212;157.253.202.22;no user
ISC213;157.253.202.23;no user
ISC214;157.253.202.24;no user
ISC215;157.253.202.25;no user
ISC216;157.253.202.26;no user
ISC217;157.253.202.27;no user
ISC218;157.253.202.28;no user
ISC219;157.253.202.29;no user
ISC220;157.253.202.30;no user
ISC221;157.253.202.31;no user
ISC222;157.253.202.32;no user
ISC223;157.253.202.33;no user
ISC224;157.253.202.34;no user
ISC225;157.253.202.35;no user
ISC226;157.253.202.36;no user
ISC227;157.253.202.37;no user
ISC228;157.253.202.38;no user
ISC229;157.253.202.39;no user
ISC230;157.253.202.40;no user
ISC231;157.253.202.41;no user
ISC232;157.253.202.42;no user
ISC233;157.253.202.43;no user
ISC234;157.253.202.44;no user
ISC235;157.253.202.45;no user
ISC236;157.253.202.46;no user
ISC237;157.253.202.47;no user
ISC238;157.253.202.48;no user
ISC239;157.253.202.49;no user
ISC240;157.253.202.50;no user
ISC241;157.253.202.51;no user
ISC242;157.253.202.52;no user
ISC243;157.253.202.53;no user
ISC244;157.253.202.54;no user
ISC245;157.253.202.55;no user
ISC246;157.253.202.56;no user
ISC247;157.253.202.57;no user
ISC301;157.253.239.11;no user
ISC302;157.253.239.12;no user
ISC303;157.253.239.13;no user
ISC304;157.253.239.14;no user
ISC305;157.253.239.15;no user
ISC306;157.253.239.16;no user
ISC307;157.253.239.17;no user
ISC308;157.253.239.18;no user
ISC309;157.253.239.19;no user
ISC310;157.253.239.20;no user
ISC311;157.253.239.21;no user
ISC312;157.253.239.22;no user
ISC313;157.253.239.23;no user
ISC314;157.253.239.24;no user
ISC315;157.253.239.25;no user
ISC316;157.253.239.26;no user
ISC317;157.253.239.27;no user
ISC318;157.253.239.28;no user
ISC319;157.253.239.29;no user
ISC320;157.253.239.30;no user
ISC321;157.253.239.31;no user
ISC322;157.253.239.32;no user
ISC323;157.253.239.33;no user
ISC324;157.253.239.34;no user
ISC325;157.253.239.35;no user
ISC326;157.253.239.36;no user
ISC327;157.253.239.37;no user
ISC328;157.253.239.38;no user
ISC329;157.253.239.39;no user
ISC330;157.253.239.40;no user
ISC401;157.253.201.141;no user
ISC402;157.253.201.142;no user
ISC403;157.253.201.143;no user
ISC404;157.253.201.144;no user
ISC405;157.253.201.145;no user
ISC406;157.253.201.146;no user
ISC407;157.253.201.147;no user
ISC408;157.253.201.148;no user
ISC409;157.253.201.149;no user
ISC410;157.253.201.150;no user
ISC411;157.253.201.151;no user
ISC412;157.253.201.152;no user
ISC413;157.253.201.153;no user
ISC414;157.253.201.154;no user
ISC415;157.253.201.155;no user
ISC416;157.253.201.156;no user
ISC417;157.253.201.157;no user
ISC418;157.253.201.158;no user
ISC419;157.253.201.159;no user
ISC420;157.253.201.160;no user
ISC421;157.253.201.161;no user
ISC422;157.253.201.162;no user
ISC423;157.253.201.163;no user
